concepto_practico,termino,tema,origen
desmonte,desmonte,prácticas de manejo de la parcela,"desmonte, tumba, desbrozar, chapear"
control de plagas y malezas,rociar,prácticas de manejo de la parcela,"rociar, aplicar líquido para hoja ancha"
siembra pastos,siembra de pastos,prácticas de manejo de la parcela,siembra de pastos
siembra de cultivos,siembra de cultivos,,siembra de milpa
mantenimiento del lienzo,mantenimiento del lienzo,prácticas de manejo de la parcela,mantenimiento del lienzo
quemas,quemas,prácticas de manejo de la parcela,quemas
rotación de potreros,rotación de potreros,prácticas de manejo de la parcela,rotación de potreros
"cuidado de la salud del ganado
¿desparasitar?",cuidado de la salud del ganado,prácticas de manejo del ganado,"desparasitar, bañar, vacunar"
bombear/acarrear agua,acarrear agua,prácticas de manejo del ganado,acarrear agua
construcción de represos/pozos,bebederos y represas,,
madera,madera,recursos en la parcela,"postes, madera, varas, leña, carbón"
pastura,pastura,recursos en la parcela,"cantidad de pastura, crecimiento/calidad de la guinea"
fertilidad del suelo,fertilidad del suelo,conservación del suelo,"fertilidad del suelo, humedad del suelo?"
monte,monte,recursos en la parcela,"monte (para ramoneo), monte alto, conservar monte"
recursos no maderables,plantas medicinales,recursos en la parcela,"medicina, remedios"
animales para cacería,animales para cacería,recursos en la parcela,"animales para caza, animales grandes"
cantidad de tierra,cantidad de tierra,condiciones socioeconómicas,"cantidad de tierra, parcelas, derechos ejidales"
disponibilidad de material para trabajar,herramienta de trabajo,condiciones socioeconómicas,"disponibilidad de material, disponibilidad de herramienta, familiares que trabajan en la parcela"
cantidad de ganado,cantidad de ganado,condiciones socioeconómicas,cantidad de ganado
remesas,remesas,condiciones socioeconómicas,remesas
apoyos del gobierno,apoyos del gobierno,condiciones socioeconómicas,apoyos del gobierno
alimento para el ganado,alimento para ganado,condiciones socioeconómicas,"renta de pastura, compra de pastura, alimento para el ganado"
enfermedades del ganado,enfermedades del ganado,producción ganadera,"enfermedad del ganado, muerte de vacas"
plagas,plagas,producción ganadera,plagas de la pastura
erosión,erosión,conservación del suelo,"erosión, crecimiento de las piedras, dificultad para trabajar el suelo?"
pesca en ríos,pesca en ríos,conservación de la biodiversidad,disponibilidad de pesca en ríos
disponibilidad de madera y árboles forrajeros,árboles para madera,conservación de la biodiversidad,"disponibilidad de árboles maderables, disponibilidad de árboles para forraje"
variedad de plantas no útiles,plantas no útiles,,
belleza del paisaje,belleza del paisaje,conservación de la biodiversidad,"paisaje, admiración de la naturaleza"
biodiversidad de animales,diversidad de animales,conservación de la biodiversidad,biodiversidad
biodiversidad de plantas,diversidad de plantas,,
conservación de la biodiversidad,conservación de la biodiversidad,conservación de la biodiversidad,conservación
conservación del agua,conservación del agua,,
conservación del suelo,conservación del suelo,,
disponibilidad de agua para consumo humano,disponibilidad de agua para personas,conservación del agua,"cantidad de agua en los arroyos, agua limpia para beber (ranchos), agua para ganado"
disponibilidad de agua para las vacas,disponibilidad de agua para ganado,,
lluvia,lluvia,conservación del agua,"cantidad de lluvia, distribución de lluvia"
clima,clima,conservación del agua,periodo de lluvias
cambio climático,cambio climático,conservación del agua,cambio climático
sequía,sequía,conservación del agua,sequía
tormenta,tormenta,conservación del agua,tormenta
migración,migración ,condiciones socioeconómicas,migración
huracanes,huracanes,conservación del agua,huracán
biólogos,biólgos,actores,"biólogos, trabajo de los biólogos"
estación de biología de chamela,estación de biología de chamela,actores,estación de biología de chamela
comercio,otras actividades productivas,condiciones socioeconómicas,"mercado/compra, negocio familiar"
orgullo ganadero,orgullo ganadero,condiciones socioeconómicas,"orgullo ganadero, buena fama, prestigio"
ingreso de dinero,dinero,condiciones socioeconómicas,"otros ingresos, dinero"
turismo,turismo,,
